"","genomic.feature","All_Percent","zldvsAC_Percent","zldvszldnoKD_Percent","zldnoKDvsAC_Percent"
"1","exon",15.2084556664709,15.2084556664709,20.8576998050682,15.5555555555556
"2","exon and intron",12.6247798003523,12.6247798003523,12.4756335282651,11.3333333333333
"3","intergenic",36.1127422196124,36.1127422196124,28.2651072124756,39.1111111111111
"4","intron",27.4221961244862,27.4221961244862,29.8245614035088,24.4444444444444
"5","promoter",8.6318261890781,8.6318261890781,8.57699805068226,9.55555555555556
