"","genomic.feature","All_Percent","zldvsAC_Percent","zldvszldnoKD_Percent","zldnoKDvsAC_Percent"
"1","exon",15.2952748458366,13.5787420770356,12.2144522144522,16.4835164835165
"2","exon and intron",13.123746831612,12.9692832764505,13.986013986014,10.8516483516484
"3","intergenic",32.073544433095,39.54168698196,38.4149184149184,39.010989010989
"4","intron",25.0444520107441,27.5231594344222,29.6037296037296,25.5494505494505
"5","promoter",14.4629818787122,6.38712823013164,5.78088578088578,8.1043956043956
