"","genomic.feature","All_Percent","zldvsAC_Percent","zldvszldnoKD_Percent","zldnoKDvsAC_Percent"
"1","exon",12.4218424343476,12.4218424343476,9.49754901960784,17.9856115107914
"2","exon and intron",13.2138390996248,13.2138390996248,14.4607843137255,10.0719424460432
"3","intergenic",41.9758232596915,41.9758232596915,41.6053921568627,38.8489208633094
"4","intron",27.5948311796582,27.5948311796582,29.5343137254902,27.3381294964029
"5","promoter",4.79366402667778,4.79366402667778,4.90196078431373,5.75539568345324
