"wt.1.NC13.opaKD1.23003FL.09.01.25"	"ac.1.NC13.opaKD1.23003FL.09.01.26"	"dsred.2.NC13.opaKD1.23003FL.09.01.27"	"opa.2.NC13.opaKD1.23003FL.09.01.28"	"opa.3.NC13.opaKD1.23003FL.09.01.29"	"opa.4.NC13.opaKD1.23003FL.09.01.30"	"wt.2.NC13.opaKD3.23003FL.09.02.05"	"ac.2.NC13.opaKD3.23003FL.09.02.06"	"dsred.3.NC13.opaKD3.23003FL.09.02.07"	"dsred.4.NC13.opaKD3.23003FL.09.02.08"	"opa.5.NC13.opaKD3.23003FL.09.02.09"	"wt.3.NC13.opaKD4.23003FL.09.02.13"	"ac.3.NC13.opaKD4.23003FL.09.02.14"	"ac.4.NC13.opaKD4.23003FL.09.02.15"	"opa.6.NC13.opaKD4.23003FL.09.02.16"	"opa.7.NC13.opaKD4.23003FL.09.02.17"	"opa.8.NC13.opaKD4.23003FL.09.02.18"	"opa.9.NC13.opaKD4.23003FL.09.02.19"
"evm.TU.scaffold_1.1051"	5	1	9	6	11	6	3	8	3	2	5	1	7	14	7	15	16	20
"evm.TU.scaffold_1.1052"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1053"	18	86	61	22	5	29	38	20	36	13	16	44	38	104	19	4	18	40
"evm.TU.scaffold_1.1054"	898	1242	872	1169	785	747	316	250	221	284	313	280	724	408	325	139	246	183
"evm.TU.scaffold_1.1055"	509	610	472	797	429	414	74	310	125	175	276	133	809	569	401	348	417	391
"evm.TU.scaffold_1.1056"	125	130	69	258	61	124	226	130	203	145	95	185	151	257	122	85	61	64
"evm.TU.scaffold_1.1057"	668	798	595	868	480	601	179	397	345	178	449	222	847	607	427	167	211	180
"evm.TU.scaffold_1.1058"	4	0	11	10	0	3	1	12	2	0	0	0	0	1	0	0	2	0
"evm.TU.scaffold_1.1059"	10013	12297	9120	12897	6825	10305	1427	8036	2596	1676	4271	3020	8618	7195	4332	1133	2740	1077
"evm.TU.scaffold_1.106"	0	0	0	1	10	5	1	3	0	0	1	17	3	0	1	0	0	0
"evm.TU.scaffold_1.1061"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1062"	169	166	134	325	94	130	47	80	81	21	52	52	184	165	58	12	20	6
"evm.TU.scaffold_1.1063"	318	517	241	822	202	371	119	145	199	100	164	134	415	374	205	69	59	123
"evm.TU.scaffold_1.1064"	2	2	0	6	2	3	1	0	0	0	19	0	0	0	1	0	0	0
"evm.TU.scaffold_1.1065"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1066"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1067"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1068"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1069"	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
"evm.TU.scaffold_1.1070"	1308	1316	815	1544	1095	1443	925	1163	1146	1128	1508	886	1373	1061	1494	1280	1244	1381
