"wt.1.NC12.opaKD2.23003FL.06.01.18"	"ac.1.NC12.opaKD2.23003FL.06.01.19"	"dsred.1.NC12.opaKD2.23003FL.06.01.20"	"opa.1.NC12.opaKD2.23003FL.06.01.21"	"wt.2.NC12.opaKD5.23003FL.06.01.35"	"ac.2.NC12.opaKD5.23003FL.06.01.36"	"dsred.2.NC12.opaKD5.23003FL.06.01.37"	"dsred.3.NC12.opaKD5.23003FL.06.01.38"	"opa.3.NC12.opaKD5.23003FL.06.01.40"	"opa.5.NC12.opaKD5.23003FL.06.01.42"	"ac.3.NC12.opaKD6.23003FL.06.01.44"	"ac.4.NC12.opaKD6.23003FL.06.01.45"	"opa.6.NC12.opaKD6.23003FL.06.01.46"	"opa.7.NC12.opaKD6.23003FL.06.01.47"	"opa.8.NC12.opaKD6.23003FL.06.01.48"
"scaffold_2:39713322-39713418"	8	4	2	15	5	1	19	8	18	6	2	2	15	17	8
"scaffold_2:39713924-39714050"	16	4	3	8	1	7	13	5	9	4	8	7	13	23	19
"scaffold_2:39723494-39723603"	17	10	2	5	10	0	7	2	7	3	9	3	26	11	20
"scaffold_2:39727648-39727730"	18	3	1	4	3	1	1	7	3	0	3	1	7	7	18
"scaffold_2:39734350-39734540"	29	10	5	22	19	10	18	26	20	9	14	10	12	21	20
"scaffold_2:39737284-39737413"	49	3	5	31	18	6	16	37	16	12	10	3	15	14	29
"scaffold_2:39739090-39739209"	63	43	11	37	19	13	39	36	37	15	44	57	61	50	58
"scaffold_2:39743411-39743554"	45	15	11	35	16	9	27	29	33	8	13	21	38	29	28
"scaffold_2:39745659-39745759"	37	8	7	19	13	4	21	11	10	11	10	12	18	14	10
"scaffold_2:39746058-39746373"	79	48	43	81	31	131	62	61	117	127	124	217	126	168	95
"scaffold_2:39754160-39754417"	74	51	13	45	46	32	57	101	72	32	50	53	81	65	82
"scaffold_2:39755426-39755569"	47	17	9	22	26	14	35	77	39	16	16	17	44	45	60
"scaffold_2:39761392-39761534"	38	20	5	29	4	18	22	51	34	3	20	18	42	37	48
"scaffold_2:39782003-39782118"	46	17	11	28	21	19	30	32	38	17	22	27	25	28	39
"scaffold_2:39782270-39782385"	35	18	10	11	17	19	24	23	29	7	20	24	33	23	36
"scaffold_2:39783922-39784017"	23	8	3	15	8	6	11	20	20	4	15	5	28	17	20
"scaffold_2:39784939-39785054"	17	16	2	12	8	10	15	32	29	10	11	33	30	49	32
"scaffold_2:39789121-39789250"	37	26	6	21	21	7	38	31	28	16	30	21	44	22	19
"scaffold_2:39789372-39789455"	23	15	4	15	11	8	20	9	14	0	24	20	20	14	15
"scaffold_2:39809030-39809119"	7	12	2	18	4	4	15	17	19	4	11	14	30	21	20
"scaffold_2:39816828-39816918"	5	7	2	3	2	3	10	9	13	1	5	8	11	12	11
"scaffold_2:39824527-39824710"	138	72	22	62	65	43	124	127	112	54	85	124	186	119	176
"scaffold_2:39831840-39831919"	19	7	3	14	14	5	27	34	17	11	16	6	21	6	25
"scaffold_2:39836288-39836398"	32	12	6	16	19	10	29	33	12	5	17	11	13	21	28
"scaffold_2:39837498-39837618"	30	11	6	15	5	6	25	26	7	2	12	8	17	21	11
"scaffold_2:39851136-39851219"	6	3	2	13	9	1	13	8	5	5	4	1	10	2	11
"scaffold_2:39854784-39854889"	26	9	3	9	13	5	15	29	8	3	17	12	28	7	20
"scaffold_2:39856918-39857012"	16	6	9	7	7	3	25	30	11	10	6	11	15	16	21
"scaffold_2:39861869-39862098"	37	23	6	22	19	10	34	59	33	4	23	17	59	53	47
"scaffold_2:39865192-39865295"	23	14	2	13	8	11	34	29	15	6	17	9	15	22	17
"scaffold_2:39871322-39871431"	23	25	5	15	12	16	47	38	38	24	13	30	47	38	32
"scaffold_2:39878886-39878986"	5	8	5	11	9	6	28	18	10	3	8	5	14	4	16
"scaffold_2:39887491-39887698"	74	51	14	42	29	25	65	88	73	24	50	25	87	101	71
"scaffold_2:39893107-39893226"	14	8	9	12	6	4	19	20	27	3	8	9	26	13	19
"scaffold_2:39911200-39911369"	54	24	3	25	27	6	35	44	50	13	23	12	72	32	44
"scaffold_2:39914555-39914709"	34	9	6	21	5	6	24	35	19	9	13	11	33	13	47
"scaffold_2:39919780-39920079"	115	72	17	65	46	50	139	145	124	67	80	83	110	121	146
"scaffold_2:39925021-39925338"	21	8	4	19	11	9	10	19	7	2	5	6	6	21	16
"scaffold_2:39943863-39943967"	32	19	2	14	11	6	25	15	21	4	9	19	41	17	29
"scaffold_2:39948077-39948173"	12	11	1	11	2	6	8	12	3	0	7	7	6	11	11
"scaffold_2:39951674-39951794"	13	10	3	19	6	6	16	34	19	3	8	23	16	12	19
"scaffold_2:39968641-39968849"	21	20	7	24	19	19	25	44	32	6	23	17	30	34	37
"scaffold_2:39974343-39974465"	30	13	7	8	10	12	22	40	9	5	5	11	16	22	22
"scaffold_2:39984518-39984678"	37	22	8	21	6	19	27	27	31	4	15	16	43	42	56
"scaffold_2:39991208-39991316"	26	13	7	6	12	5	17	36	26	5	14	1	20	20	27
"scaffold_2:39996450-39996595"	38	24	5	32	13	13	41	83	28	5	22	35	56	36	54
"scaffold_2:40001009-40001284"	84	48	9	55	32	18	70	60	67	11	47	30	57	56	92
"scaffold_2:40010590-40010698"	37	8	2	13	15	8	30	39	22	6	7	9	22	25	29
"scaffold_2:40011651-40011754"	28	9	4	17	9	17	19	23	26	12	16	9	21	14	29
"scaffold_2:40022841-40022974"	29	16	3	13	11	5	21	36	16	10	19	5	21	25	21
"scaffold_2:40031829-40032155"	63	30	13	32	15	17	59	51	25	14	60	26	74	35	59
"scaffold_2:40034206-40034286"	25	31	3	12	18	15	21	23	18	0	15	12	21	13	56
"scaffold_2:40037759-40037957"	64	28	14	30	27	14	78	75	48	22	35	12	53	63	43
"scaffold_2:40048628-40048746"	20	6	1	12	11	1	6	19	5	1	8	9	7	4	6
"scaffold_2:40051848-40051935"	16	3	4	15	7	6	10	21	24	3	4	4	20	28	26
"scaffold_2:40061727-40061864"	67	37	11	51	51	19	60	55	104	46	54	40	76	69	48
"scaffold_2:40061944-40062285"	134	66	27	123	73	89	161	137	187	151	105	146	218	227	130
"scaffold_2:40062812-40062925"	36	23	13	35	17	7	52	35	22	11	23	9	44	34	41
"scaffold_2:40075391-40075468"	17	11	5	11	8	7	19	15	33	23	15	16	36	29	21
"scaffold_2:40075742-40075883"	42	23	10	30	21	18	40	45	48	15	33	28	64	48	44
"scaffold_2:40081891-40081981"	15	4	4	12	8	6	17	37	22	2	16	5	18	25	22
"scaffold_2:40092275-40092350"	13	2	5	10	1	0	8	16	3	6	8	3	8	8	9
"scaffold_2:40094392-40094468"	9	1	0	10	1	4	12	10	12	0	5	6	15	9	12
"scaffold_2:40107072-40107178"	8	6	2	15	4	3	5	23	9	3	8	5	7	8	15
"scaffold_2:40113759-40113912"	12	11	2	14	6	2	5	9	2	2	4	11	9	6	7
"scaffold_2:40129013-40129118"	15	10	3	9	7	5	9	16	17	6	14	6	14	14	14
"scaffold_2:40132614-40132780"	12	2	4	14	8	4	15	17	11	9	19	7	8	8	4
"scaffold_2:40139038-40139115"	13	8	7	14	8	9	10	10	10	9	6	5	8	6	17
"scaffold_2:40144959-40145058"	18	3	4	15	10	6	17	21	12	1	5	6	31	15	20
"scaffold_2:40148392-40148482"	20	5	2	4	14	3	18	16	9	8	15	10	24	25	15
"scaffold_2:40158655-40158913"	156	81	14	118	108	41	220	117	181	85	48	49	254	296	166
"scaffold_2:40159671-40159929"	98	94	20	86	61	49	158	124	209	132	65	82	222	207	138
"scaffold_2:40160299-40160540"	43	18	3	49	32	16	34	49	71	19	20	24	80	46	59
"scaffold_2:40160865-40161111"	102	43	13	58	55	42	139	66	109	55	39	34	190	155	114
"scaffold_2:40179417-40179531"	27	3	4	6	10	8	26	34	16	2	7	9	23	14	19
"scaffold_2:40181942-40182018"	11	6	10	12	3	1	14	10	10	1	13	6	13	11	13
"scaffold_2:40184739-40185040"	50	28	12	31	29	9	53	38	14	10	35	13	22	29	37
"scaffold_2:40189495-40189596"	19	6	4	11	5	3	18	16	9	6	15	15	18	4	22
"scaffold_2:40195263-40195964"	692	350	87	384	468	259	825	512	715	454	279	355	988	1063	735
"scaffold_2:40197418-40197502"	16	10	3	25	21	7	19	35	17	3	15	5	16	16	23
"scaffold_2:40197743-40197824"	19	12	2	12	23	5	40	42	17	4	5	7	23	20	23
"scaffold_2:40207674-40207896"	56	23	12	33	16	11	57	74	38	0	10	12	38	20	68
"scaffold_2:40220861-40220935"	9	6	3	13	5	4	11	18	18	3	3	7	8	15	16
"scaffold_2:40263444-40263570"	9	8	9	19	9	3	24	14	10	2	14	9	10	8	16
"scaffold_2:40266428-40266513"	8	1	2	13	6	2	12	9	8	1	13	6	5	14	18
"scaffold_2:40291577-40291884"	34	30	11	27	16	17	64	47	31	14	22	18	28	23	53
"scaffold_2:40318421-40318524"	19	25	3	12	4	8	14	33	30	4	8	14	21	30	37
"scaffold_2:40319902-40320053"	21	12	4	14	3	10	25	31	23	3	17	11	18	15	37
"scaffold_2:40323156-40323320"	25	13	5	22	12	18	63	55	30	8	17	17	43	63	43
"scaffold_2:40333422-40333524"	42	25	8	17	14	9	19	18	14	9	16	19	30	19	23
"scaffold_2:40334280-40334373"	31	14	5	10	10	11	25	38	15	12	11	9	23	12	19
"scaffold_2:40341941-40342022"	29	24	3	16	10	15	33	27	29	13	24	15	38	59	51
"scaffold_2:40342449-40342601"	33	17	9	21	17	9	29	48	20	9	22	13	42	28	47
"scaffold_2:40355022-40355104"	20	8	3	9	4	4	7	6	8	7	3	12	24	12	14
"scaffold_2:40357489-40357639"	32	21	10	17	8	6	31	37	17	8	9	13	46	47	37
"scaffold_2:40361189-40361263"	36	14	6	6	12	2	18	24	15	4	7	8	22	17	24
"scaffold_2:40375091-40375181"	18	8	3	7	10	9	21	12	23	2	6	12	11	22	13
"scaffold_2:40376620-40376704"	18	14	2	10	12	27	17	21	24	17	17	18	34	42	14
"scaffold_2:40376935-40377044"	35	20	3	27	31	19	30	23	29	15	36	27	26	25	26
"scaffold_2:40377512-40377593"	30	8	5	14	6	8	9	24	2	1	10	13	13	10	14
"scaffold_2:40382220-40382365"	64	39	9	52	24	44	67	77	50	14	30	53	90	84	121
"scaffold_2:40382716-40382859"	49	36	7	33	22	18	35	47	60	17	32	24	45	51	71
"scaffold_2:40389235-40389389"	29	11	7	28	13	22	14	16	21	15	19	31	39	31	26
"scaffold_2:40394213-40394318"	24	14	12	16	11	13	16	17	16	7	9	14	39	27	32
"scaffold_2:40394577-40394708"	36	22	10	34	19	27	35	41	36	26	45	61	57	54	37
"scaffold_2:40395625-40395739"	13	11	5	13	9	8	9	20	17	7	9	17	20	20	18
"scaffold_2:40401375-40401478"	21	45	4	27	6	12	39	30	34	17	18	23	52	52	46
"scaffold_2:40411840-40411976"	17	9	2	11	5	2	7	24	8	1	5	4	17	15	27
"scaffold_2:40441312-40441410"	3	5	3	18	5	6	18	19	12	5	5	7	8	12	16
"scaffold_2:40451841-40451938"	10	10	1	5	3	4	11	13	4	4	9	4	22	10	12
"scaffold_2:40465425-40465727"	14	7	3	7	12	10	27	25	24	5	11	10	26	42	33
"scaffold_2:40472289-40472528"	11	13	4	17	11	5	31	30	19	9	7	8	39	65	18
"scaffold_2:40500694-40500771"	6	3	2	8	3	5	19	7	9	7	6	2	13	6	15
"scaffold_2:40551945-40552162"	66	32	10	30	25	25	42	79	58	23	30	38	68	53	60
"scaffold_2:40559487-40559831"	142	69	19	85	71	18	80	176	71	38	71	83	151	112	126
"scaffold_2:40559922-40560036"	41	27	3	15	20	9	44	55	44	15	24	16	55	54	73
"scaffold_2:40560636-40560799"	37	9	5	25	33	11	44	76	31	10	20	17	24	22	53
"scaffold_2:40563217-40563350"	21	12	0	15	17	7	43	57	37	24	12	2	40	25	53
"scaffold_2:40579261-40579523"	21	23	4	28	10	15	43	55	39	32	15	24	45	35	48
"scaffold_2:40584963-40585218"	46	34	2	42	57	17	111	69	107	19	21	29	81	78	102
"scaffold_2:40587253-40587352"	8	3	1	12	5	3	12	23	12	5	5	1	11	4	17
"scaffold_2:40592508-40592592"	9	7	2	10	4	4	12	13	18	4	5	4	10	7	7
"scaffold_2:40636595-40636787"	21	15	3	21	14	10	26	19	25	6	20	14	32	16	27
"scaffold_2:40666568-40666721"	20	13	3	27	19	4	15	38	11	0	11	19	20	36	26
"scaffold_2:40668391-40668520"	23	13	6	24	6	4	19	16	14	9	27	11	21	22	17
"scaffold_2:40673693-40673787"	13	7	3	16	6	3	10	17	5	2	4	12	10	7	15
"scaffold_2:40676794-40676879"	5	6	1	6	7	2	3	5	2	3	2	2	11	4	1
"scaffold_2:40678854-40679221"	140	36	9	42	54	26	82	88	57	9	40	44	93	80	81
"scaffold_2:40682675-40682881"	50	23	6	25	33	9	45	42	42	2	23	16	63	41	47
"scaffold_2:40694450-40694604"	13	1	7	10	9	5	7	14	3	1	2	2	4	5	15
"scaffold_2:40696128-40696221"	14	15	10	12	17	1	15	13	18	2	8	10	7	6	15
"scaffold_2:40700325-40700422"	8	2	3	4	3	10	9	12	9	3	5	11	8	12	7
"scaffold_2:40700698-40700884"	18	7	3	7	7	9	11	13	6	2	6	5	5	6	18
"scaffold_2:40705605-40705755"	21	14	5	23	10	9	16	35	20	3	13	7	10	10	30
"scaffold_2:40716440-40716585"	48	20	2	13	31	8	52	41	32	12	15	6	41	32	32
"scaffold_2:40719008-40719098"	29	8	2	7	2	4	28	21	16	5	15	10	28	27	29
"scaffold_2:40719576-40719668"	20	15	3	14	6	12	14	13	23	13	9	20	25	27	29
"scaffold_2:40723905-40723994"	18	20	6	5	11	8	14	16	15	16	21	20	36	25	26
"scaffold_2:40725131-40725266"	31	24	4	10	13	8	31	68	18	5	13	13	49	39	35
"scaffold_2:40744598-40744756"	65	49	8	33	45	26	62	166	92	49	27	20	111	79	60
"scaffold_2:40772600-40772730"	26	16	7	15	15	7	31	39	26	8	18	10	15	12	20
"scaffold_2:40799221-40799299"	13	7	3	6	5	4	11	21	7	4	8	1	8	8	7
"scaffold_2:40808060-40808139"	14	14	1	11	3	6	12	29	14	2	9	10	6	8	12
"scaffold_2:40846564-40846639"	17	11	4	13	11	11	23	77	15	11	11	6	13	18	32
"scaffold_2:40860519-40860630"	9	2	6	8	3	10	21	11	11	3	3	9	14	17	12
"scaffold_2:40869748-40869833"	15	4	2	8	7	8	9	16	16	9	21	11	11	7	20
"scaffold_2:40926575-40926680"	30	12	2	10	10	7	25	55	11	10	26	7	22	18	29
"scaffold_2:40951819-40951897"	41	11	5	12	14	4	9	44	22	7	9	4	19	15	16
"scaffold_2:40959082-40959178"	23	15	6	20	10	10	19	28	16	7	9	20	29	17	27
"scaffold_2:40961422-40961540"	44	11	9	31	33	9	43	60	26	7	15	13	27	29	36
"scaffold_2:40962364-40962710"	139	51	21	71	71	40	107	154	93	27	69	63	90	118	114
"scaffold_2:40972182-40972358"	79	30	20	45	51	8	45	49	25	2	30	21	68	33	60
"scaffold_2:40972578-40972748"	71	26	10	46	38	25	48	40	50	17	20	22	51	64	48
"scaffold_2:40972851-40973125"	256	109	43	173	95	82	127	147	177	98	150	163	219	236	189
"scaffold_2:40973263-40973433"	155	66	26	106	53	41	123	115	139	68	71	77	183	201	149
"scaffold_2:40978950-40979045"	13	11	2	6	11	3	14	24	8	3	8	1	12	17	23
"scaffold_2:40979652-40979813"	41	23	3	14	25	0	19	26	29	8	13	15	41	32	37
"scaffold_2:40985750-40985856"	26	29	10	19	21	7	27	46	25	12	9	6	47	45	34
"scaffold_2:40986658-40986803"	18	17	2	15	7	6	13	20	31	6	8	10	23	43	37
"scaffold_2:40991407-40991552"	39	17	7	24	24	6	36	41	21	0	6	9	50	40	23
"scaffold_2:40993892-40994118"	143	46	18	69	65	50	75	70	124	65	61	82	156	144	121
"scaffold_2:40994657-40994752"	67	28	5	32	40	10	38	32	23	8	17	26	32	33	47
"scaffold_2:40996264-40996432"	50	10	5	9	34	3	25	15	26	4	16	6	33	23	54
"scaffold_2:40997519-40997811"	274	80	14	101	148	38	180	106	159	54	65	141	233	200	212
"scaffold_2:40998976-40999129"	66	47	13	51	28	52	47	35	70	52	91	104	86	89	84
"scaffold_2:41001160-41001239"	37	16	1	22	28	0	27	21	12	3	5	5	27	28	23
"scaffold_2:41006416-41006992"	965	444	181	565	623	588	845	768	934	890	757	966	863	1075	809
"scaffold_2:41010187-41011067"	1618	523	173	661	960	624	1313	869	1356	888	878	1201	1465	1884	1406
"scaffold_2:41020826-41021105"	64	20	6	42	61	13	72	100	73	13	40	27	75	77	107
"scaffold_2:41024287-41024405"	33	10	5	19	23	4	19	55	19	3	14	14	28	11	26
"scaffold_2:41026975-41027054"	28	4	4	4	13	4	16	12	12	7	16	7	25	4	24
"scaffold_2:41028022-41028124"	58	21	2	22	11	12	28	19	25	12	32	26	51	53	46
"scaffold_2:41030572-41030695"	102	31	7	36	62	23	92	79	81	14	23	31	50	84	87
"scaffold_2:41035455-41035603"	44	26	6	17	30	5	22	48	30	14	18	24	29	33	46
"scaffold_2:41040867-41041727"	1749	599	163	769	926	616	1289	788	1269	857	949	1174	1575	1874	1536
"scaffold_2:41051021-41051511"	869	371	156	620	495	687	807	550	809	915	785	979	886	965	722
"scaffold_2:41052497-41053072"	1234	538	121	575	829	425	1172	632	1125	718	619	750	1254	1435	1115
"scaffold_2:41053154-41053255"	229	95	18	120	137	66	222	85	229	136	135	137	242	241	177
"scaffold_2:41054215-41054650"	961	457	172	535	419	636	843	631	886	887	738	977	927	913	746
"scaffold_2:41060866-41061515"	1212	559	259	758	741	876	1115	884	1313	1291	1018	1256	1056	1270	1001
"scaffold_2:41062695-41062963"	472	211	47	213	384	193	519	379	494	267	243	312	531	549	500
"scaffold_2:41063038-41063140"	216	79	22	56	109	71	197	109	167	93	89	121	185	171	147
"scaffold_2:41068860-41069520"	1172	522	236	744	602	761	981	835	1083	1049	905	1114	978	1112	918
"scaffold_2:41069736-41069816"	43	15	6	22	31	20	31	16	38	32	24	11	37	47	45
"scaffold_2:41073357-41073483"	103	15	11	32	74	23	61	89	39	12	26	29	57	38	76
"scaffold_2:41080550-41081133"	1114	590	220	779	651	862	978	895	1110	1129	892	1248	1070	1177	993
"scaffold_2:41082452-41083195"	1317	579	182	683	781	707	1199	862	1349	950	955	1208	1461	1576	1501
"scaffold_2:41083873-41084300"	917	455	177	568	501	651	762	717	835	856	687	1035	862	901	743
"scaffold_2:41085814-41086154"	366	91	30	103	203	51	120	123	118	30	96	123	233	203	226
"scaffold_2:41089399-41089648"	561	158	27	109	424	99	286	270	259	82	145	221	299	271	359
"scaffold_2:41091183-41091719"	1131	541	232	699	653	834	961	819	1080	1046	1021	1208	1035	1236	947
"scaffold_2:41093530-41094212"	1251	554	147	609	792	556	1110	717	1326	853	775	971	1275	1496	1250
"scaffold_2:41094607-41094847"	362	155	52	138	255	147	322	260	325	217	281	343	427	378	353
"scaffold_2:41096879-41096982"	54	27	8	35	38	8	45	45	36	13	28	27	59	51	77
"scaffold_2:41105673-41105800"	42	9	5	22	42	11	41	58	38	11	13	23	53	27	63
"scaffold_2:41106881-41107093"	88	38	14	72	44	11	71	80	74	22	24	25	94	112	89
"scaffold_2:41112581-41112724"	49	12	3	16	22	12	25	45	21	3	10	2	39	26	46
"scaffold_2:41112851-41113046"	64	30	5	30	24	12	43	66	20	6	23	16	44	36	50
"scaffold_2:41122451-41122579"	36	25	5	18	14	18	39	29	44	6	25	35	65	64	53
"scaffold_2:41139668-41139752"	19	7	2	4	6	1	7	17	10	3	2	1	10	16	10
"scaffold_2:41140336-41140436"	46	21	6	24	33	3	38	52	25	2	13	11	51	49	34
"scaffold_2:41140824-41140992"	42	12	10	20	13	5	19	43	24	8	17	17	43	36	52
"scaffold_2:41141468-41141762"	172	64	47	95	65	84	124	114	152	84	116	133	218	202	170
"scaffold_2:41164497-41164680"	24	12	4	23	8	5	37	39	24	6	13	11	26	38	35
"scaffold_2:41170083-41170337"	52	26	6	61	19	14	62	79	54	15	36	20	54	37	77
"scaffold_2:41208620-41208846"	82	49	12	69	39	44	112	72	81	33	36	56	82	81	94
"scaffold_2:41216613-41216798"	9	7	1	14	12	7	22	28	9	5	12	13	9	17	18
"scaffold_2:41239534-41239617"	10	6	2	11	5	2	15	21	9	7	15	7	15	10	13
"scaffold_2:41249557-41249644"	9	5	7	17	13	9	19	12	19	7	8	5	19	13	20
"scaffold_2:41315745-41315840"	9	16	5	11	12	4	22	29	17	5	14	6	21	14	21
"scaffold_2:41320457-41320630"	22	20	9	26	8	8	52	44	34	10	19	22	21	35	37
"scaffold_2:41361930-41362007"	14	8	7	15	16	11	25	16	19	6	11	12	16	26	18
"scaffold_2:41387956-41388030"	7	10	5	10	5	6	26	14	18	13	15	10	14	11	28
"scaffold_2:41399458-41399570"	13	8	5	12	17	2	11	16	16	20	7	6	31	28	6
"scaffold_2:41400864-41400963"	16	10	2	17	3	4	14	9	13	5	7	4	9	24	7
"scaffold_2:41433450-41433530"	13	13	10	10	5	10	16	25	7	3	12	11	10	7	27
"scaffold_2:41451614-41451740"	12	9	8	20	7	8	22	11	15	7	27	8	9	20	30
"scaffold_2:41452326-41452476"	32	20	4	24	15	17	42	27	44	27	13	25	32	42	29
"scaffold_2:41509643-41509773"	21	32	6	34	14	6	20	32	41	30	35	35	37	45	24
"scaffold_2:41510455-41510545"	18	21	6	18	8	2	25	38	27	7	19	15	35	34	24
"scaffold_2:41511363-41511440"	21	13	10	15	11	6	15	15	38	20	21	14	29	25	16
"scaffold_2:41527136-41527250"	25	18	4	20	5	9	27	40	35	8	24	12	22	34	25
"scaffold_2:41527706-41527866"	39	20	7	22	10	16	41	43	27	13	18	11	32	36	42
"scaffold_2:41544797-41544945"	19	16	6	12	18	16	23	24	14	9	15	12	14	10	30
"scaffold_2:41553690-41554065"	67	45	14	42	35	33	84	72	75	32	38	28	51	95	55
"scaffold_2:41574304-41574414"	5	12	2	18	11	5	29	49	6	4	14	8	11	13	29
"scaffold_2:41581267-41581378"	42	21	4	21	21	7	38	37	31	27	16	12	36	27	27
"scaffold_2:41607066-41607164"	30	9	8	31	11	6	22	29	15	9	11	13	30	20	24
"scaffold_2:41611274-41611416"	66	25	12	41	25	25	45	59	16	10	37	51	17	30	42
"scaffold_2:41611652-41612028"	76	46	17	53	47	34	50	93	61	35	49	31	76	74	68
"scaffold_2:41615483-41615645"	21	16	6	12	8	9	31	30	24	12	19	19	23	35	35
"scaffold_2:41618924-41619100"	36	11	3	18	8	8	30	31	37	9	3	9	10	13	24
"scaffold_2:41626509-41626596"	30	16	3	15	14	6	19	30	17	8	24	11	25	8	16
"scaffold_2:41634924-41635029"	10	2	3	19	10	3	7	18	17	5	8	3	5	8	7
"scaffold_2:41640954-41641080"	33	17	6	16	16	6	27	50	28	4	14	11	25	28	21
"scaffold_2:41659743-41659820"	29	20	3	13	22	3	26	47	43	13	4	7	34	30	24
"scaffold_2:41660039-41660211"	51	22	12	44	18	13	42	53	40	21	18	19	47	52	47
"scaffold_2:41660742-41660850"	111	31	21	48	35	39	63	91	59	52	52	68	85	87	101
"scaffold_2:41661537-41661741"	144	55	26	88	40	64	110	109	94	76	81	104	153	155	135
"scaffold_2:41664036-41664117"	36	11	4	23	11	5	28	46	32	7	10	3	30	46	23
"scaffold_2:41664317-41664524"	86	27	24	58	38	33	74	95	72	43	53	62	111	122	76
"scaffold_2:41664711-41664809"	36	14	5	14	23	8	28	43	24	6	27	31	34	36	21
"scaffold_2:41666638-41666749"	54	16	7	35	18	6	19	41	27	13	29	32	43	16	45
"scaffold_2:41667053-41667202"	79	54	13	40	31	36	77	75	88	58	50	53	111	116	80
"scaffold_2:41668471-41668662"	114	42	9	74	33	40	86	105	82	52	42	47	103	143	65
"scaffold_2:41679492-41679592"	37	17	10	25	12	20	19	24	38	27	20	24	42	60	39
"scaffold_2:41685797-41685941"	49	16	15	34	28	33	29	36	51	30	37	48	45	55	32
"scaffold_2:41689702-41689871"	64	46	23	49	33	28	55	47	70	39	52	64	80	108	66
"scaffold_2:41690880-41690977"	67	29	11	36	29	9	31	44	30	18	45	33	75	73	48
"scaffold_2:41691379-41691459"	33	23	1	21	9	9	21	42	26	4	11	4	30	27	27
"scaffold_2:41691925-41691999"	25	15	1	18	8	5	14	19	17	7	7	11	21	37	19
"scaffold_2:41694513-41694595"	27	13	7	15	39	15	25	33	27	10	18	10	26	27	26
"scaffold_2:41706238-41706672"	224	94	44	127	82	136	148	177	222	180	193	295	238	248	157
"scaffold_2:41706933-41707068"	115	63	22	48	73	44	68	92	92	37	51	56	97	94	81
"scaffold_2:41707184-41707337"	109	35	15	51	55	29	67	48	63	28	43	42	83	65	84
"scaffold_2:41708297-41708841"	392	79	39	147	138	64	152	256	184	109	118	110	280	385	245
"scaffold_2:41709106-41709358"	207	79	27	112	144	45	162	185	128	60	74	81	161	168	145
"scaffold_2:41712371-41712451"	51	27	10	24	36	17	39	55	33	21	38	20	32	59	64
"scaffold_2:41716280-41716365"	49	11	8	25	18	5	22	25	26	7	7	8	19	15	12
"scaffold_2:41716527-41716608"	26	15	5	22	15	9	29	61	34	13	8	6	33	24	36
"scaffold_2:41723159-41723279"	52	12	6	17	15	6	37	44	26	9	18	11	38	45	25
"scaffold_2:41731575-41731778"	78	37	16	37	22	9	61	104	56	17	32	28	61	63	60
"scaffold_2:41738698-41738804"	57	23	11	15	20	9	25	45	31	13	25	16	20	23	39
"scaffold_2:41742284-41742368"	26	8	4	22	11	6	27	44	27	10	18	8	37	11	16
"scaffold_2:41752820-41753000"	68	23	7	36	34	18	38	76	39	8	41	34	30	21	50
"scaffold_2:41753516-41753617"	16	13	1	14	12	4	11	15	17	5	7	3	16	16	14
"scaffold_2:41758426-41758712"	77	37	16	42	27	8	48	77	51	8	30	30	66	54	68
"scaffold_2:41760431-41760546"	17	19	10	20	9	7	17	22	17	3	19	16	28	19	30
"scaffold_2:41771049-41771194"	18	15	6	10	13	5	16	21	18	9	8	14	14	13	25
"scaffold_2:41771274-41771412"	30	10	6	20	23	9	19	31	17	10	12	11	25	23	32
"scaffold_2:41775358-41775472"	26	23	3	29	9	13	33	30	26	5	23	18	40	21	31
"scaffold_2:41775793-41775965"	43	43	6	35	21	23	41	51	48	12	51	27	57	61	66
"scaffold_2:41794838-41795039"	53	37	6	31	12	3	37	52	41	18	8	6	22	24	15
"scaffold_2:41805378-41805467"	20	14	1	13	2	8	8	8	7	1	8	8	21	7	14
"scaffold_2:41806819-41806918"	14	9	3	6	5	2	5	15	3	1	7	5	12	12	12
"scaffold_2:41814189-41814319"	14	15	7	10	7	15	17	16	19	11	29	17	24	28	22
"scaffold_2:41830981-41831057"	7	10	7	10	12	3	21	14	18	5	4	6	20	27	28
"scaffold_2:41836867-41836983"	28	4	3	16	9	6	16	17	15	2	11	9	23	16	17
"scaffold_2:41837274-41837428"	55	25	12	21	39	39	34	41	49	30	33	42	60	61	42
"scaffold_2:41839058-41839177"	65	38	5	32	22	18	55	47	52	19	41	34	64	58	76
"scaffold_2:41845001-41845134"	24	17	5	25	14	18	20	27	36	22	20	29	46	31	23
"scaffold_2:41860861-41860964"	46	13	8	34	25	25	17	20	25	5	15	11	23	34	28
"scaffold_2:41867815-41868252"	114	73	33	82	72	57	147	160	157	79	68	71	124	104	94
"scaffold_2:41881609-41881782"	16	8	2	25	8	13	23	22	19	14	17	4	24	13	17
"scaffold_2:41962286-41962407"	32	21	3	28	14	12	32	31	13	11	23	23	28	33	38
"scaffold_2:41962520-41962910"	103	53	37	93	62	42	101	145	92	63	73	91	96	122	142
"scaffold_2:41969435-41969894"	221	132	33	137	84	56	182	345	180	61	151	124	260	305	341
