"wt.1.NC12.opaKD2.23003FL.06.01.18"	"ac.1.NC12.opaKD2.23003FL.06.01.19"	"dsred.1.NC12.opaKD2.23003FL.06.01.20"	"opa.1.NC12.opaKD2.23003FL.06.01.21"	"wt.2.NC12.opaKD5.23003FL.06.01.35"	"ac.2.NC12.opaKD5.23003FL.06.01.36"	"dsred.2.NC12.opaKD5.23003FL.06.01.37"	"dsred.3.NC12.opaKD5.23003FL.06.01.38"	"opa.3.NC12.opaKD5.23003FL.06.01.40"	"opa.5.NC12.opaKD5.23003FL.06.01.42"	"ac.3.NC12.opaKD6.23003FL.06.01.44"	"ac.4.NC12.opaKD6.23003FL.06.01.45"	"opa.6.NC12.opaKD6.23003FL.06.01.46"	"opa.7.NC12.opaKD6.23003FL.06.01.47"	"opa.8.NC12.opaKD6.23003FL.06.01.48"
"scaffold_1:416586-416672"	16	6	5	8	6	16	16	20	25	12	23	21	11	27	17
"scaffold_1:429567-429771"	17	3	6	24	16	4	36	37	20	4	20	14	21	17	42
"scaffold_1:453248-453331"	27	19	7	17	7	9	38	22	20	10	6	18	42	34	44
"scaffold_1:468422-468677"	38	32	18	48	17	16	56	41	42	11	34	38	54	51	50
"scaffold_1:469135-469233"	44	17	5	19	6	15	45	40	42	15	23	19	42	43	43
"scaffold_1:470489-470566"	14	8	1	14	7	4	15	29	11	10	5	9	21	7	22
"scaffold_1:473427-473790"	92	62	15	73	50	35	199	113	123	35	46	57	146	175	132
"scaffold_1:474746-474966"	20	5	4	3	7	6	12	13	1	0	4	0	11	3	13
"scaffold_1:490086-490207"	17	12	4	13	6	1	23	23	10	10	5	23	23	26	24
"scaffold_1:502527-502603"	2	3	3	11	0	1	9	7	3	0	3	0	2	3	10
"scaffold_1:504623-504706"	11	5	2	12	4	5	8	19	24	9	14	17	21	23	20
"scaffold_1:511940-512151"	7	8	9	26	6	11	39	38	8	6	10	11	32	34	19
"scaffold_1:526602-526792"	7	6	13	21	17	8	22	18	10	4	12	4	13	5	29
"scaffold_1:544684-544886"	32	35	6	45	35	12	77	41	35	20	20	36	53	94	47
"scaffold_1:545928-546175"	32	38	5	33	18	13	51	26	23	7	27	33	30	43	34
"scaffold_1:874790-874950"	11	15	2	15	8	13	31	37	36	9	17	6	56	64	36
"scaffold_1:875456-875738"	31	26	4	26	29	16	44	60	64	10	32	32	106	128	73
"scaffold_1:910410-910498"	15	8	3	14	8	5	18	19	27	17	21	11	46	19	33
"scaffold_1:910841-911246"	85	48	15	54	55	30	123	121	86	39	56	55	148	186	143
"scaffold_1:919887-919975"	11	32	11	22	7	28	20	28	40	21	30	50	30	40	22
"scaffold_1:930690-930782"	11	1	1	10	8	2	14	14	12	2	7	8	16	29	13
"scaffold_1:950801-950947"	14	12	2	14	12	5	29	26	17	9	19	3	51	37	45
"scaffold_1:952298-952487"	18	34	5	38	13	8	29	33	37	23	32	36	75	82	71
"scaffold_1:986525-986635"	3	12	5	10	8	12	17	13	19	4	9	9	17	16	26
"scaffold_1:1012103-1012186"	3	9	4	7	8	4	19	8	7	4	13	8	6	9	21
"scaffold_1:1015631-1015737"	16	10	4	21	11	8	27	20	23	17	15	21	24	22	22
"scaffold_1:1143624-1143782"	50	29	4	46	24	28	41	51	62	32	29	27	80	77	60
"scaffold_1:1194535-1194785"	31	40	4	33	14	9	51	30	42	27	35	45	64	65	80
"scaffold_1:1266776-1266856"	8	7	2	12	7	4	17	9	15	4	8	10	19	18	15
"scaffold_1:1332862-1333119"	69	40	15	53	22	24	59	46	57	15	76	82	93	89	130
"scaffold_1:1441172-1441324"	50	27	2	21	27	11	62	48	44	10	40	23	37	39	46
"scaffold_1:1443332-1443579"	38	23	6	21	30	12	65	59	74	32	26	24	96	129	52
"scaffold_1:1550896-1551033"	11	21	6	14	15	4	30	34	29	9	12	13	51	36	41
"scaffold_1:1700052-1700133"	4	10	5	12	3	5	23	6	18	4	8	13	17	9	17
"scaffold_1:1709025-1709109"	12	13	4	9	5	21	8	10	25	19	15	29	15	8	17
"scaffold_1:1819349-1819467"	37	18	6	16	37	18	43	43	45	36	27	19	40	51	47
"scaffold_1:1828976-1829062"	13	6	2	19	5	5	23	24	20	10	5	8	24	25	16
"scaffold_1:1869181-1869357"	23	19	7	20	29	17	72	27	42	19	34	30	30	61	22
"scaffold_1:1893219-1893293"	7	3	2	13	1	1	7	4	10	3	4	6	7	12	12
"scaffold_1:1961508-1961670"	25	13	1	20	5	1	20	12	24	8	19	29	50	78	54
"scaffold_1:1963436-1963575"	20	5	4	10	2	3	14	1	19	10	18	28	47	44	33
"scaffold_1:1969296-1969403"	31	36	9	41	22	34	61	39	77	20	41	30	77	105	72
"scaffold_1:2038724-2038853"	13	16	6	16	3	17	28	13	19	16	19	7	17	18	25
"scaffold_1:2064632-2064739"	15	13	3	14	13	12	32	30	18	10	13	15	26	24	30
"scaffold_1:2156499-2156709"	44	40	12	35	27	26	31	64	56	18	21	25	56	57	88
"scaffold_1:2237606-2237696"	15	21	2	12	5	4	16	15	25	9	20	3	13	26	13
"scaffold_1:2250345-2250484"	16	32	7	29	12	6	28	22	51	12	8	6	53	34	32
"scaffold_1:2255455-2255554"	47	15	4	13	20	26	36	29	38	29	49	33	57	53	35
"scaffold_1:2263476-2263597"	19	7	1	29	7	8	11	19	3	0	3	3	12	13	10
"scaffold_1:2275337-2275436"	25	11	2	20	25	12	28	32	26	3	10	8	15	18	19
"scaffold_1:2276387-2276570"	62	20	7	37	35	39	52	43	57	52	82	76	71	104	37
"scaffold_1:2289598-2289695"	75	25	5	47	50	20	59	55	66	41	36	29	51	60	52
"scaffold_1:2290990-2291112"	58	21	9	78	109	39	76	57	106	67	38	48	66	84	70
"scaffold_1:2291447-2291895"	330	160	57	277	143	283	446	258	504	417	434	471	442	534	354
"scaffold_1:2294388-2294784"	785	240	59	299	512	267	768	610	632	344	474	517	797	839	731
"scaffold_1:2301590-2302058"	207	86	17	118	57	64	199	213	199	77	88	105	236	207	178
"scaffold_1:2303023-2303122"	23	14	2	18	12	4	28	35	16	5	16	10	32	35	31
"scaffold_1:2310175-2310261"	13	3	2	12	9	3	8	11	10	0	10	4	11	10	9
"scaffold_1:2317035-2317164"	77	30	17	39	22	27	54	68	75	42	38	66	76	73	72
"scaffold_1:2317753-2317839"	36	13	6	22	16	14	33	24	16	4	8	17	33	32	37
"scaffold_1:2342664-2342750"	14	12	4	15	5	7	33	23	19	3	17	10	15	12	20
"scaffold_1:2349512-2349591"	16	4	0	14	5	5	9	25	16	7	12	5	27	25	15
"scaffold_1:2351359-2351441"	18	15	5	3	10	8	26	40	18	13	20	23	33	35	22
"scaffold_1:2351835-2351921"	20	3	3	15	4	3	16	10	15	2	5	8	13	10	19
"scaffold_1:2359038-2359136"	14	10	7	12	5	2	19	55	29	1	13	7	17	19	18
"scaffold_1:2367419-2367762"	76	53	25	74	41	28	80	100	67	15	60	38	112	65	94
"scaffold_1:2379326-2379418"	27	25	12	26	3	2	19	31	3	4	13	18	31	19	22
"scaffold_1:2380109-2380213"	20	7	0	21	9	6	25	25	15	4	12	0	46	21	20
"scaffold_1:2382861-2383000"	40	25	1	42	20	11	33	90	45	3	27	24	73	46	58
"scaffold_1:2394481-2394592"	17	11	5	1	18	7	27	29	20	2	12	7	15	11	24
"scaffold_1:2412009-2412088"	13	8	8	15	6	1	22	26	5	5	4	5	12	10	27
"scaffold_1:2414639-2414731"	22	21	3	17	9	7	27	30	25	7	23	16	36	66	33
"scaffold_1:2416794-2416965"	33	19	4	27	9	15	44	43	19	9	11	8	36	29	30
"scaffold_1:2419513-2419623"	24	18	6	20	7	1	36	36	23	1	7	13	13	11	32
"scaffold_1:2442126-2442331"	23	15	6	26	15	10	31	49	20	13	25	14	40	43	27
"scaffold_1:2460419-2460561"	30	21	7	34	10	17	28	36	20	28	19	35	33	32	30
"scaffold_1:2460869-2460971"	22	18	3	23	11	7	28	26	43	18	7	3	29	43	32
"scaffold_1:2473666-2473915"	41	40	11	46	17	18	66	72	63	24	38	38	74	91	77
"scaffold_1:2524027-2524114"	24	11	1	11	8	1	10	23	10	2	6	1	33	29	23
"scaffold_1:2530899-2530982"	22	20	4	17	8	7	37	41	31	6	11	16	28	22	30
"scaffold_1:2547334-2547422"	7	13	1	19	3	6	34	26	12	8	7	4	15	23	8
"scaffold_1:2594827-2594946"	16	11	2	14	7	9	34	35	18	9	21	13	26	19	19
"scaffold_1:2599981-2600064"	12	3	1	5	5	1	19	18	2	0	0	2	29	12	8
"scaffold_1:2686842-2687000"	25	33	10	36	11	11	35	27	19	27	22	24	13	20	31
"scaffold_1:2696210-2696289"	23	5	3	16	10	9	23	24	17	1	10	7	17	20	27
"scaffold_1:2765997-2766081"	3	12	7	15	2	1	25	22	15	0	10	6	14	16	16
"scaffold_1:2814954-2815030"	10	2	1	5	7	1	6	4	9	2	11	5	4	3	15
"scaffold_1:2815783-2815910"	11	11	2	20	15	8	50	14	16	10	9	16	27	11	40
"scaffold_1:2826829-2827047"	12	10	3	16	12	8	19	36	17	11	12	11	32	16	22
"scaffold_1:2842645-2842763"	14	11	0	19	11	11	27	39	26	1	19	6	21	14	25
"scaffold_1:2842867-2842976"	17	13	1	23	9	17	29	25	24	4	16	18	26	27	18
"scaffold_1:2921314-2921431"	15	16	2	27	6	11	21	26	30	20	19	16	19	24	19
"scaffold_1:2923103-2923286"	19	7	1	12	3	6	14	25	16	6	11	5	24	15	22
"scaffold_1:2931265-2931424"	56	43	18	55	25	31	57	73	95	42	38	56	99	119	62
"scaffold_1:2931973-2932089"	27	10	3	16	8	16	20	23	20	10	20	15	33	25	31
"scaffold_1:2945744-2945842"	12	6	2	8	11	3	14	5	6	3	14	10	20	4	24
"scaffold_1:2948275-2948354"	9	10	7	16	11	11	17	20	8	3	17	5	5	10	24
"scaffold_1:2949966-2950059"	5	14	3	16	3	5	10	11	3	7	8	7	18	9	17
"scaffold_1:2996067-2996168"	18	3	3	15	10	11	17	9	11	11	19	17	23	21	20
"scaffold_1:3013399-3013479"	12	4	1	7	2	1	21	15	10	8	7	10	22	6	9
"scaffold_1:3030930-3031034"	17	9	6	19	10	13	19	20	12	6	11	13	11	17	18
"scaffold_1:3040830-3040938"	13	10	2	18	4	5	31	40	19	12	12	23	30	14	33
"scaffold_1:3041289-3041368"	19	12	1	17	20	8	20	25	14	4	14	10	17	15	23
"scaffold_1:3051527-3051624"	18	6	2	7	7	7	12	14	16	2	3	4	19	15	15
"scaffold_1:3065846-3065938"	14	11	2	13	9	2	29	50	14	3	12	8	12	4	14
"scaffold_1:3071269-3071350"	23	4	1	11	6	3	19	23	10	8	7	1	10	12	11
"scaffold_1:3079049-3079143"	47	5	3	19	20	6	16	17	30	7	9	6	19	20	29
"scaffold_1:3080030-3080109"	42	8	5	31	15	19	26	24	47	13	27	23	57	49	39
"scaffold_1:3080275-3080372"	61	23	4	26	9	28	30	41	70	14	17	18	72	74	34
"scaffold_1:3081067-3081224"	58	18	10	26	31	9	34	35	28	18	19	11	29	26	27
"scaffold_1:3081749-3081878"	52	26	8	28	24	37	51	50	61	36	40	36	57	66	62
"scaffold_1:3102261-3102534"	197	111	37	144	88	124	182	131	238	181	132	126	253	277	147
"scaffold_1:3113206-3113403"	46	29	9	38	21	11	35	29	30	10	18	19	26	17	33
"scaffold_1:3123639-3123934"	55	20	8	29	21	20	22	50	35	7	26	10	41	27	32
"scaffold_1:3131976-3132052"	16	5	2	10	7	4	14	15	4	4	9	2	18	6	12
"scaffold_1:3138569-3138670"	26	12	4	11	9	5	5	18	14	8	19	4	19	17	24
"scaffold_1:3147263-3147368"	61	18	3	27	19	5	43	34	35	10	18	7	22	43	43
"scaffold_1:3150262-3150336"	37	22	3	12	19	8	34	23	41	16	21	19	26	40	37
"scaffold_1:3150754-3150900"	66	23	6	26	23	9	41	64	24	8	14	14	53	44	32
"scaffold_1:3154215-3154341"	55	16	5	25	30	10	43	50	16	7	11	14	22	25	47
"scaffold_1:3154901-3155117"	59	13	8	20	20	8	21	47	16	6	16	6	24	23	40
"scaffold_1:3156369-3156557"	52	26	11	27	49	10	44	45	34	10	21	9	43	51	61
"scaffold_1:3157032-3157200"	70	17	11	38	35	14	60	42	60	12	14	19	57	49	47
"scaffold_1:3157291-3157561"	169	76	5	63	58	19	140	86	76	17	44	35	136	146	173
"scaffold_1:3158149-3158297"	117	38	7	29	37	16	68	64	62	15	25	39	92	53	86
"scaffold_1:3159025-3159107"	75	28	4	35	42	22	51	55	45	22	25	18	74	58	84
"scaffold_1:3159709-3159920"	305	168	61	164	198	242	310	267	357	326	337	407	357	397	325
"scaffold_1:3168343-3168435"	30	8	5	15	15	3	35	13	16	13	14	12	25	12	35
"scaffold_1:3177183-3177268"	16	11	0	16	4	8	7	32	13	8	6	6	13	9	9
"scaffold_1:3182471-3182552"	14	12	1	5	7	9	3	23	13	11	5	6	10	6	14
"scaffold_1:3194147-3194341"	34	23	12	15	10	7	35	50	33	8	21	12	50	29	52
"scaffold_1:3194509-3194623"	43	15	5	16	11	9	27	37	23	10	18	18	29	17	41
"scaffold_1:3201702-3201868"	26	16	6	26	5	8	30	27	19	6	21	18	38	14	46
"scaffold_1:3201947-3202154"	34	21	1	23	15	9	16	40	10	3	18	8	13	23	26
"scaffold_1:3203292-3203712"	70	53	24	52	14	12	80	80	48	13	39	31	124	140	99
"scaffold_1:3205832-3206000"	35	20	11	18	6	6	42	67	31	8	22	21	49	35	45
"scaffold_1:3213092-3213367"	27	7	10	11	7	16	21	28	14	9	22	12	24	29	14
"scaffold_1:3216499-3216673"	30	22	3	18	5	3	38	34	31	5	18	17	47	31	60
"scaffold_1:3247239-3247358"	25	11	5	22	9	3	19	17	10	5	16	11	10	24	33
"scaffold_1:3257473-3257636"	52	16	9	20	22	6	33	57	35	9	27	16	47	35	47
"scaffold_1:3258979-3259133"	75	55	33	59	47	58	55	59	82	67	77	92	90	106	63
"scaffold_1:3259621-3259758"	56	25	12	30	12	7	25	23	26	11	21	36	44	47	53
"scaffold_1:3259948-3260120"	48	30	9	22	13	6	25	15	19	14	20	35	36	49	29
"scaffold_1:3266415-3266499"	7	5	1	4	2	4	17	11	8	8	13	0	12	7	7
"scaffold_1:3319204-3319315"	12	9	4	14	10	5	21	17	24	9	15	13	25	29	26
"scaffold_1:3325771-3325864"	6	14	3	16	3	5	18	13	15	7	6	4	7	10	11
"scaffold_1:3362075-3362228"	10	13	14	20	8	8	26	27	49	21	12	20	51	36	33
"scaffold_1:3362605-3362759"	36	27	5	24	14	15	26	31	41	5	38	40	65	40	34
"scaffold_1:3407940-3408047"	18	7	7	8	7	4	27	42	16	2	8	7	18	19	29
"scaffold_1:3420341-3420517"	41	26	13	27	21	38	35	32	43	35	63	35	45	63	28
"scaffold_1:3427332-3427408"	21	9	1	15	5	5	13	28	9	4	1	6	20	4	10
"scaffold_1:3432301-3432445"	33	7	3	20	16	16	29	46	17	6	11	12	27	17	25
"scaffold_1:3436485-3436637"	35	31	12	53	12	36	47	26	45	34	52	79	54	51	35
"scaffold_1:3436849-3436947"	49	5	8	42	12	9	17	34	17	16	19	5	23	17	17
"scaffold_1:3440735-3440832"	29	9	4	16	1	10	11	30	13	3	10	4	16	24	17
"scaffold_1:3459008-3459145"	146	65	16	58	51	63	85	101	113	81	72	88	159	186	93
"scaffold_1:3459569-3459789"	79	35	16	38	28	29	50	55	61	31	36	35	54	43	46
"scaffold_1:3460090-3460531"	173	58	39	114	84	31	100	115	125	41	61	30	122	138	113
"scaffold_1:3460841-3460937"	67	13	5	20	37	8	24	44	39	26	18	31	40	28	39
"scaffold_1:3467774-3467968"	34	9	4	27	26	3	10	33	16	6	17	13	15	8	25
"scaffold_1:3471292-3471413"	43	15	10	34	32	6	44	22	24	12	15	8	44	58	43
"scaffold_1:3484246-3484399"	54	34	13	43	10	25	34	34	45	31	33	63	58	54	41
"scaffold_1:3484684-3485181"	118	28	20	66	64	19	46	77	63	48	39	32	70	51	87
"scaffold_1:3492538-3492651"	36	13	8	37	27	10	12	41	15	8	16	7	19	17	14
"scaffold_1:3511255-3511404"	47	28	6	37	17	20	55	40	56	25	23	6	60	84	45
"scaffold_1:3511892-3512038"	27	16	1	16	24	9	37	33	33	11	15	11	44	41	38
