"wt.1.NC12.opaKD2.23003FL.09.02.01"	"ac.1.NC12.opaKD2.23003FL.09.02.02"	"dsred.1.NC12.opaKD2.23003FL.09.02.03"	"opa.1.NC12.opaKD2.23003FL.09.02.04"	"wt.2.NC12.opaKD5.23003FL.09.02.20"	"ac.2.NC12.opaKD5.23003FL.09.02.21"	"dsred.2.NC12.opaKD5.23003FL.09.02.22"	"dsred.3.NC12.opaKD5.23003FL.09.02.23"	"opa.3.NC12.opaKD5.23003FL.09.02.24"	"opa.5.NC12.opaKD5.23003FL.09.02.26"	"ac.3.NC12.opaKD6.23003FL.09.02.28"	"ac.4.NC12.opaKD6.23003FL.09.02.29"	"opa.6.NC12.opaKD6.23003FL.09.02.30"	"opa.7.NC12.opaKD6.23003FL.09.02.31"	"opa.8.NC12.opaKD6.23003FL.09.02.32"
"evm.TU.scaffold_1.1058"	0	0	0	5	0	0	0	0	4	0	0	0	29	0	3
"evm.TU.scaffold_1.1059"	3690	3032	5455	4291	4606	5807	4578	2682	1993	1848	2747	3420	2284	1826	1615
"evm.TU.scaffold_1.106"	1	0	0	0	5	3	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1061"	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1062"	42	83	102	72	414	162	127	103	35	51	171	152	89	32	15
"evm.TU.scaffold_1.1063"	162	236	282	257	1060	401	278	283	260	429	676	374	534	233	153
"evm.TU.scaffold_1.1064"	0	5	10	6	1	3	0	1	0	1	0	0	0	17	5
"evm.TU.scaffold_1.1065"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1066"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1067"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1068"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1069"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1070"	1640	1303	1302	1502	1409	965	1155	1522	1589	1214	826	1056	945	973	1298
"evm.TU.scaffold_1.1071"	1113	907	868	989	559	630	730	945	673	250	172	321	220	502	770
"evm.TU.scaffold_1.1072"	142	110	142	109	224	139	135	149	156	165	80	88	42	57	38
"evm.TU.scaffold_1.1073"	85	33	34	77	77	33	27	24	55	133	77	83	173	34	15
"evm.TU.scaffold_1.1075"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1076"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1077"	9	52	74	30	116	84	112	104	37	31	85	36	34	33	32
"evm.TU.scaffold_1.1078"	2419	1504	1266	2038	547	1113	1490	1540	1598	987	814	854	911	2106	1668
"evm.TU.scaffold_1.1079"	5340	6057	5050	5129	5313	5225	5638	5812	2804	2657	2097	3039	3331	3481	3766
"evm.TU.scaffold_1.1080"	136	199	309	207	243	236	245	316	323	436	224	244	215	191	133
"evm.TU.scaffold_1.1081"	3180	2846	3355	3914	5079	1582	1586	2124	4012	4639	3718	4459	5400	3654	2500
"evm.TU.scaffold_1.1082"	934	480	679	675	486	502	468	558	209	186	158	242	377	268	204
"evm.TU.scaffold_1.1083"	2387	3813	3399	2881	1175	2674	3443	4796	1803	1250	1440	1446	1918	2284	2800
"evm.TU.scaffold_1.1084"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1085"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1086"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1087"	2824	1834	1825	1651	966	1420	2272	2936	2580	2231	1467	1589	1811	2495	2242
"evm.TU.scaffold_1.1088"	2970	1969	2013	1655	1481	1674	2574	3116	2710	2709	1607	1740	2285	2663	2258
"evm.TU.scaffold_1.1089"	0	0	0	0	7	0	0	0	12	0	0	0	0	0	0
"evm.TU.scaffold_1.1090"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1091"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1092"	0	0	10	0	1	0	0	3	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1093"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1094"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1095"	10179	9575	6759	7150	3862	7268	12200	17044	17511	22072	10790	11482	14380	14527	12341
"evm.TU.scaffold_1.1096"	372	2210	794	707	194	971	1500	2668	755	578	327	598	525	464	966
"evm.TU.scaffold_1.1097"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1098"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1099"	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.11"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1100"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1101"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1102"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1104"	10	13	16	19	77	31	44	57	49	52	20	3	0	10	12
"evm.TU.scaffold_1.1105"	8	17	18	4	1	1	3	3	1	9	3	0	1	12	12
"evm.TU.scaffold_1.1106"	10824	10178	9294	9822	9168	8478	12383	11278	9280	8123	6862	8477	8095	7961	8772
"evm.TU.scaffold_1.1107"	108	185	75	83	64	132	239	501	259	195	138	156	217	177	255
"evm.TU.scaffold_1.1108"	54	30	56	59	119	37	40	52	75	60	176	39	166	52	31
"evm.TU.scaffold_1.1109"	2	1	4	1	0	0	0	0	9	0	0	0	0	0	0
"evm.TU.scaffold_1.111"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1110"	113	317	284	138	345	190	262	283	421	398	342	449	607	311	268
"evm.TU.scaffold_1.1111"	1424	1399	1467	1446	925	1042	1484	1405	1576	1419	862	954	699	1592	1177
"evm.TU.scaffold_1.1112"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1113"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1114"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1115"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1116"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1117"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1118"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1119"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1120"	0	0	0	0	3	1	2	1	1	1	0	0	0	0	0
"evm.TU.scaffold_1.1121"	0	6	4	0	0	0	0	0	12	0	0	0	1	0	0
"evm.TU.scaffold_1.1122"	0	2	0	0	0	0	0	0	22	0	0	0	0	0	0
"evm.TU.scaffold_1.1123"	1	0	1	0	3	0	0	0	5	0	0	0	0	14	0
"evm.TU.scaffold_1.1124"	3	22	18	9	24	34	15	19	4	0	0	0	0	22	27
"evm.TU.scaffold_1.1125"	74	193	240	148	452	210	224	195	216	160	34	132	104	87	74
"evm.TU.scaffold_1.1126_evm.TU.scaffold_1.1127"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1128"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1129"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.113"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1130"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1131"	25	55	49	56	93	76	39	43	66	29	38	15	1	144	33
"evm.TU.scaffold_1.1132"	6	11	6	7	5	5	0	5	4	1	0	0	0	0	1
"evm.TU.scaffold_1.1133"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1134"	14888	14564	14091	13180	16297	12910	15649	16617	11473	10094	8970	10580	10721	10167	10328
"evm.TU.scaffold_1.1135"	1619	2053	2271	2187	6174	2015	1691	1754	1406	1177	1202	1232	1702	1151	1091
"evm.TU.scaffold_1.1136"	3	17	18	12	19	10	6	11	4	0	0	4	0	0	11
"evm.TU.scaffold_1.1138"	0	8	3	0	7	5	0	4	0	0	0	0	0	0	13
"evm.TU.scaffold_1.114"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1141"	324	398	597	380	1649	478	451	554	521	576	457	452	508	476	344
"evm.TU.scaffold_1.1142"	2024	1777	2043	2225	3691	1228	1239	1411	3363	3882	4494	4705	4873	2440	2023
"evm.TU.scaffold_1.1143"	395	454	501	408	747	394	543	492	333	653	490	314	264	343	233
"evm.TU.scaffold_1.1144"	1048	1446	1600	1222	2116	1455	1674	1298	707	977	1499	1157	1030	651	788
"evm.TU.scaffold_1.1145"	391	438	524	690	354	244	317	379	938	833	583	523	783	726	522
"evm.TU.scaffold_1.1146"	797	840	950	694	939	539	799	1152	1037	910	676	696	699	1041	714
"evm.TU.scaffold_1.1147"	951	954	956	874	1876	675	882	1304	1281	1298	707	941	1204	1141	829
"evm.TU.scaffold_1.1148"	76	43	26	61	133	30	37	18	58	74	70	14	114	64	15
"evm.TU.scaffold_1.1149"	7	1	17	18	11	3	4	1	0	47	1	0	0	11	0
"evm.TU.scaffold_1.115"	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
"evm.TU.scaffold_1.1150"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"evm.TU.scaffold_1.1151"	11	134	57	63	45	95	227	349	48	108	34	33	57	22	54
"evm.TU.scaffold_1.1152"	66	55	45	89	30	58	99	184	52	112	62	1	8	63	68
"evm.TU.scaffold_1.1153"	115	147	212	168	619	151	129	119	90	74	172	138	154	78	46
"evm.TU.scaffold_1.1154"	0	3	0	0	7	0	2	0	0	0	0	0	0	2	3
"evm.TU.scaffold_1.1155"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1156"	2445	2440	3393	3598	8179	1976	2026	2228	4357	4023	3324	3355	3631	2987	2149
"evm.TU.scaffold_1.1157"	19	32	28	9	22	49	49	87	29	2	2	19	70	20	15
"evm.TU.scaffold_1.1158"	112	710	415	380	254	604	674	1227	151	211	301	211	187	252	240
"evm.TU.scaffold_1.1159"	1107	1714	1427	1395	1389	1249	1458	1893	1308	1760	1121	1046	1741	978	835
"evm.TU.scaffold_1.1160"	832	1873	1609	1455	1656	1767	2357	2194	771	1016	733	886	1290	782	761
"evm.TU.scaffold_1.1161"	188	549	379	350	379	369	611	751	128	277	289	226	371	174	147
"evm.TU.scaffold_1.1162"	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1163"	0	9	17	6	12	31	16	34	4	11	0	0	0	0	3
"evm.TU.scaffold_1.1165"	0	7	0	22	4	16	10	4	0	0	0	0	0	0	1
"evm.TU.scaffold_1.1166"	650	1346	1500	1477	1771	1643	1810	1409	334	418	486	486	478	376	343
"evm.TU.scaffold_1.1167"	20	20	24	16	65	72	50	107	6	1	0	42	34	9	21
"evm.TU.scaffold_1.1168"	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1169"	0	0	2	4	3	5	0	0	3	0	0	0	0	0	17
"evm.TU.scaffold_1.117"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1170"	176	304	349	222	415	370	507	470	150	370	89	224	203	81	93
"evm.TU.scaffold_1.1171"	2	3	4	5	3	1	6	1	1	6	0	3	7	0	3
"evm.TU.scaffold_1.1172"	63	102	79	52	96	33	62	67	67	112	117	18	118	80	56
"evm.TU.scaffold_1.1173"	604	562	794	706	1245	559	596	590	749	687	661	873	837	565	454
"evm.TU.scaffold_1.1174"	454	516	568	462	1904	417	424	429	393	444	329	521	550	477	377
"evm.TU.scaffold_1.1178"	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1179"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1180"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1181"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1182"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1183"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1184"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1185"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1186"	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1187"	26	56	100	129	310	55	56	123	118	120	71	221	80	54	39
"evm.TU.scaffold_1.1188"	2	18	12	4	20	20	9	7	11	0	1	0	0	0	8
"evm.TU.scaffold_1.119"	4	0	0	0	0	0	0	5	5	0	0	0	0	0	0
"evm.TU.scaffold_1.1190_evm.TU.scaffold_1.1191_evm.TU.scaffold_1.1192"	0	3	2	0	0	5	4	0	0	3	0	0	0	6	0
"evm.TU.scaffold_1.1193"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1194"	55	54	21	40	79	49	15	32	25	30	1	5	4	47	15
"evm.TU.scaffold_1.1195"	426	717	593	1050	233	620	594	295	360	290	109	90	48	383	117
"evm.TU.scaffold_1.1196"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1197"	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1198"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1199"	0	19	16	32	0	5	15	12	4	8	28	0	0	1	4
"evm.TU.scaffold_1.1200"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1201"	210	239	378	391	580	228	241	243	559	500	346	547	394	241	222
"evm.TU.scaffold_1.1202"	1696	1033	1624	2002	4062	888	1086	917	1655	2526	2774	2999	3347	1648	1155
"evm.TU.scaffold_1.1203"	271	113	133	196	119	110	90	51	50	40	84	15	129	107	27
"evm.TU.scaffold_1.1204"	290	758	561	532	1001	914	1230	1156	317	597	255	206	426	394	243
"evm.TU.scaffold_1.1205"	819	1220	669	654	545	929	1464	2559	834	847	488	585	609	881	889
"evm.TU.scaffold_1.1208"	27	81	111	68	90	41	62	48	33	36	71	104	241	48	78
"evm.TU.scaffold_1.1210"	2	16	2	2	0	0	0	0	3	3	0	0	6	2	8
"evm.TU.scaffold_1.1211"	14	16	15	21	28	13	8	15	5	24	0	52	17	2	9
"evm.TU.scaffold_1.1212"	65	21	37	50	182	38	7	21	11	15	13	0	67	27	25
"evm.TU.scaffold_1.1213"	1	11	8	8	26	18	14	14	1	3	0	10	0	0	9
"evm.TU.scaffold_1.1214"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1215"	2	1	0	0	0	2	0	0	0	0	0	0	0	3	0
"evm.TU.scaffold_1.1216"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1219"	1904	1928	1835	1464	1838	1948	2171	2799	985	585	674	831	714	662	755
"evm.TU.scaffold_1.1220"	7	10	9	1	7	0	0	2	3	2	0	0	0	0	1
"evm.TU.scaffold_1.1222"	3	16	7	2	8	7	6	0	4	2	0	0	1	0	8
"evm.TU.scaffold_1.1224"	1	22	18	7	34	10	4	15	2	6	0	0	0	0	0
"evm.TU.scaffold_1.1225"	1056	1038	843	958	414	738	1209	1331	499	612	412	644	680	666	707
"evm.TU.scaffold_1.1226"	1148	972	1144	1157	970	824	767	900	1277	972	761	1000	672	899	847
"evm.TU.scaffold_1.1227"	190	346	290	300	240	367	479	537	226	198	186	121	62	243	159
"evm.TU.scaffold_1.1228"	1884	2223	2023	1453	1390	2460	3934	5219	3142	3501	1632	2015	1752	2050	2707
"evm.TU.scaffold_1.1229"	381	932	623	432	326	873	1227	1567	247	309	192	304	232	275	524
"evm.TU.scaffold_1.1230"	7	9	14	0	7	9	9	14	6	6	5	0	0	0	6
"evm.TU.scaffold_1.1231"	332	396	513	468	1463	393	389	501	796	800	589	574	693	533	454
"evm.TU.scaffold_1.1232"	102	129	172	173	774	203	165	231	276	344	148	197	185	311	100
"evm.TU.scaffold_1.1233"	238	97	201	149	375	103	74	147	151	226	149	124	133	111	54
"evm.TU.scaffold_1.1234"	1097	1284	1166	1485	1122	1314	1295	1253	791	538	728	618	553	641	564
"evm.TU.scaffold_1.1235"	106	58	101	125	167	32	34	34	62	66	91	64	131	139	27
"evm.TU.scaffold_1.1236"	0	0	0	15	2	0	0	5	0	0	0	0	0	0	1
"evm.TU.scaffold_1.1237"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1238"	44	339	335	216	250	308	332	423	129	146	129	174	284	35	114
"evm.TU.scaffold_1.1241"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1242"	0	7	0	5	5	2	0	0	0	0	0	0	0	5	0
"evm.TU.scaffold_1.1243"	0	6	0	8	2	0	5	0	0	0	0	0	0	5	0
"evm.TU.scaffold_1.1244_evm.TU.scaffold_1.1248"	4	6	1	7	2	1	1	0	0	0	1	0	0	0	0
"evm.TU.scaffold_1.1245"	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0
"evm.TU.scaffold_1.1249"	59	183	146	146	79	77	165	109	53	39	130	59	117	12	65
"evm.TU.scaffold_1.1250"	41	77	57	53	54	88	52	65	16	18	62	43	61	36	11
"evm.TU.scaffold_1.1251"	652	520	619	657	712	292	388	511	672	780	805	799	679	425	378
"evm.TU.scaffold_1.1252"	4262	4585	4894	4278	10503	4398	4619	3686	2689	2873	2659	4243	2223	2024	2176
"evm.TU.scaffold_1.1253"	2	1	3	5	7	4	6	2	4	0	0	0	3	0	4
"evm.TU.scaffold_1.1254"	538	376	428	480	518	330	570	765	1893	2176	1260	905	1366	812	773
"evm.TU.scaffold_1.1255"	2845	2094	2156	3077	3687	1382	1750	2017	3923	4603	3323	2651	3417	2827	2248
"evm.TU.scaffold_1.1256"	0	0	0	2	6	1	5	7	7	2	0	0	1	0	0
"evm.TU.scaffold_1.1257"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1258"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1259"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.126"	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
"evm.TU.scaffold_1.1260"	12	85	78	41	92	79	72	67	61	79	54	57	118	84	14
"evm.TU.scaffold_1.1261"	22	125	111	114	162	125	167	132	49	40	34	35	163	24	21
"evm.TU.scaffold_1.1262"	700	1520	1320	1356	2754	1741	2039	1096	424	551	540	739	639	422	397
"evm.TU.scaffold_1.1263"	2	6	4	1	9	11	1	13	0	0	17	0	0	32	0
"evm.TU.scaffold_1.1264"	13	32	30	25	31	22	16	10	9	15	1	10	0	10	5
"evm.TU.scaffold_1.1265"	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1266"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1267"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1268"	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1269"	268	240	269	209	583	255	198	254	207	400	36	141	167	123	84
"evm.TU.scaffold_1.127"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1270"	8	15	11	11	12	16	26	22	54	11	22	13	108	12	41
"evm.TU.scaffold_1.1271"	11	6	33	7	28	5	7	9	12	21	8	2	4	12	3
"evm.TU.scaffold_1.1272"	1061	794	849	904	2007	710	957	648	1226	1378	1371	1028	1490	1112	725
"evm.TU.scaffold_1.1273"	50	48	55	68	27	25	40	77	39	29	46	18	6	4	50
"evm.TU.scaffold_1.1274"	1093	272	433	613	244	269	261	143	198	162	102	210	199	320	360
"evm.TU.scaffold_1.1275"	956	2316	1492	1590	1178	1543	2057	2263	797	739	635	1120	931	636	942
"evm.TU.scaffold_1.1276"	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1277"	117	100	159	149	563	157	94	194	198	330	419	273	68	95	112
"evm.TU.scaffold_1.1278"	737	1128	882	999	871	1242	1654	1823	756	708	869	615	872	628	804
"evm.TU.scaffold_1.1279_evm.TU.scaffold_1.1280"	78	74	76	85	190	44	99	50	105	68	72	95	134	110	36
"evm.TU.scaffold_1.128"	52	135	146	90	81	153	219	286	40	67	99	82	111	82	59
