"wt.1.NC12.opaKD2.23003FL.09.02.01"	"ac.1.NC12.opaKD2.23003FL.09.02.02"	"dsred.1.NC12.opaKD2.23003FL.09.02.03"	"opa.1.NC12.opaKD2.23003FL.09.02.04"	"wt.2.NC12.opaKD5.23003FL.09.02.20"	"ac.2.NC12.opaKD5.23003FL.09.02.21"	"dsred.2.NC12.opaKD5.23003FL.09.02.22"	"dsred.3.NC12.opaKD5.23003FL.09.02.23"	"opa.3.NC12.opaKD5.23003FL.09.02.24"	"opa.5.NC12.opaKD5.23003FL.09.02.26"	"ac.3.NC12.opaKD6.23003FL.09.02.28"	"ac.4.NC12.opaKD6.23003FL.09.02.29"	"opa.6.NC12.opaKD6.23003FL.09.02.30"	"opa.7.NC12.opaKD6.23003FL.09.02.31"	"opa.8.NC12.opaKD6.23003FL.09.02.32"
"evm.TU.scaffold_1.43"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.430"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.431"	9	208	76	39	18	25	17	5	1	1	0	12	45	5	22
"evm.TU.scaffold_1.432"	21	40	49	34	23	5	9	4	4	0	21	1	0	24	11
"evm.TU.scaffold_1.433"	0	0	5	0	4	1	0	6	0	0	0	0	0	0	0
"evm.TU.scaffold_1.436"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.438"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
"evm.TU.scaffold_1.439"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.44"	39	24	22	17	29	9	17	30	32	23	16	53	169	46	47
"evm.TU.scaffold_1.440"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.441"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.442"	9	20	12	46	53	22	25	8	12	30	18	34	0	7	4
"evm.TU.scaffold_1.443"	64	34	47	29	29	14	13	4	36	25	0	17	0	22	4
"evm.TU.scaffold_1.444"	6	11	12	23	1	5	1	6	6	0	0	0	0	16	13
"evm.TU.scaffold_1.447_evm.TU.scaffold_1.448"	981	1860	1342	2221	1428	1377	2000	1428	437	356	469	772	850	564	572
"evm.TU.scaffold_1.449"	77	58	77	65	76	39	33	31	51	74	95	62	64	87	44
"evm.TU.scaffold_1.45"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.450"	948	752	825	698	354	607	749	866	1346	938	1004	776	1110	746	638
"evm.TU.scaffold_1.451"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.452"	16	16	44	25	92	14	11	23	67	36	23	18	153	35	2
"evm.TU.scaffold_1.453"	0	0	10	3	0	0	3	4	0	0	0	0	0	0	0
"evm.TU.scaffold_1.454"	232	466	212	269	177	421	476	538	263	406	240	279	409	225	247
"evm.TU.scaffold_1.455"	93	122	122	126	64	96	112	73	37	106	75	98	145	38	39
"evm.TU.scaffold_1.456"	749	933	1145	1167	1625	477	512	595	1622	1832	1563	2139	1905	1022	832
"evm.TU.scaffold_1.458"	195	202	195	178	164	205	304	612	192	308	161	95	10	208	219
"evm.TU.scaffold_1.459"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.460"	115	27	92	34	192	111	154	264	224	247	74	100	7	129	41
"evm.TU.scaffold_1.461"	83	105	90	31	252	133	251	534	234	109	81	7	2	152	89
"evm.TU.scaffold_1.462"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.463"	0	30	11	36	65	101	159	168	64	107	0	0	4	2	43
"evm.TU.scaffold_1.464"	31	47	41	18	41	55	105	159	78	69	0	36	0	20	27
"evm.TU.scaffold_1.465"	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.466"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.467"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.468"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.469"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.470"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.471"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.472"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.473"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.474"	0	2	12	2	0	0	5	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.479"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
"evm.TU.scaffold_1.48"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.480"	0	0	0	4	0	0	2	1	1	0	2	0	0	5	10
"evm.TU.scaffold_1.482"	0	3	1	0	47	56	74	56	40	72	0	0	0	0	0
"evm.TU.scaffold_1.484"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.487"	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.488"	162	256	263	292	1790	296	165	251	163	161	186	212	192	158	182
"evm.TU.scaffold_1.494"	146	74	196	196	329	192	181	168	47	67	197	152	137	29	73
"evm.TU.scaffold_1.495"	4458	4265	3750	2535	1816	3717	5374	6010	3916	3698	2282	2062	2375	4009	4226
"evm.TU.scaffold_1.496"	200	262	214	162	161	329	451	659	174	272	187	163	181	134	251
"evm.TU.scaffold_1.497"	66	92	49	55	55	70	127	241	71	91	68	177	23	94	74
"evm.TU.scaffold_1.498"	3580	1126	1058	1445	725	761	1145	1098	1538	1550	785	1172	770	1568	1576
"evm.TU.scaffold_1.499"	9	35	25	28	61	22	30	52	19	23	24	37	78	28	20
"evm.TU.scaffold_1.5"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"evm.TU.scaffold_1.50"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.500"	421	424	714	774	605	375	469	451	940	838	939	1012	848	729	421
"evm.TU.scaffold_1.501"	518	702	944	1094	775	535	500	681	1051	721	960	1053	794	735	574
"evm.TU.scaffold_1.502"	246	367	468	377	543	558	622	694	179	328	120	78	201	190	211
"evm.TU.scaffold_1.503"	24	18	30	26	32	18	26	26	48	127	72	35	27	59	23
"evm.TU.scaffold_1.504"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.505"	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.507"	6068	5281	6301	6606	5511	4183	4542	4619	6917	6671	7198	6635	6903	5413	4458
"evm.TU.scaffold_1.508"	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0
"evm.TU.scaffold_1.509"	0	6	0	0	11	14	0	0	0	0	0	0	0	0	1
"evm.TU.scaffold_1.510"	0	0	11	0	0	0	4	0	2	0	0	0	0	0	0
"evm.TU.scaffold_1.511"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.512"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.513"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.514"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.515"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.516"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.517"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.518"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.519"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.520"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.521"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.522"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.523"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.525"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.526"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.527"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.528"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.529"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.530"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.531"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.532"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.533"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.537"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.538"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.539"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.548"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.55"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.550"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.551"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.552"	470	504	460	551	595	590	545	561	173	206	165	271	139	233	208
"evm.TU.scaffold_1.553"	73	68	88	79	271	78	71	66	119	98	94	149	93	82	59
"evm.TU.scaffold_1.554"	12	4	6	2	2	0	2	0	0	12	24	0	0	0	0
"evm.TU.scaffold_1.555"	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.556"	28	17	15	36	131	21	17	22	20	28	0	10	0	3	0
"evm.TU.scaffold_1.557"	682	320	552	687	1515	515	564	483	806	579	609	362	741	470	261
"evm.TU.scaffold_1.558"	48	29	55	60	476	68	29	29	80	99	169	35	173	38	23
"evm.TU.scaffold_1.559"	1088	1181	1768	1503	8665	1556	1248	1095	2128	2248	1804	2277	1830	1907	1182
"evm.TU.scaffold_1.56"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.560"	1045	1060	717	992	486	882	1122	1681	1374	1091	547	808	1096	872	1320
"evm.TU.scaffold_1.561"	7676	7865	7696	7298	11892	11524	15490	11005	4440	6288	6279	7829	7965	3652	3666
"evm.TU.scaffold_1.562"	123	139	120	114	193	138	139	118	130	73	66	50	51	89	116
"evm.TU.scaffold_1.563"	8	4	3	1	13	3	0	13	4	5	0	0	0	0	0
"evm.TU.scaffold_1.565_evm.TU.scaffold_1.564"	23	3	14	26	1	3	8	3	19	0	0	12	0	2	10
"evm.TU.scaffold_1.566"	14551	9398	9019	10455	6176	7368	10312	11571	15717	12768	10226	11392	12823	12634	11828
"evm.TU.scaffold_1.567"	7624	6601	6621	7626	3851	4174	5699	5311	5581	5503	4069	5612	5523	4879	4827
"evm.TU.scaffold_1.568"	4527	4105	3950	3785	3303	2944	4070	3429	1963	1382	1746	2781	1683	2028	2252
"evm.TU.scaffold_1.569"	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.570"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.571"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"evm.TU.scaffold_1.572"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.573"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
"evm.TU.scaffold_1.575"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.576"	210	54	160	389	3017	253	132	10	165	347	38	68	25	78	12
"evm.TU.scaffold_1.577"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.578"	4	0	0	0	0	0	0	3	8	0	0	0	0	0	5
"evm.TU.scaffold_1.579"	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0
"evm.TU.scaffold_1.580"	14	25	11	16	10	6	10	24	23	0	0	23	31	0	19
"evm.TU.scaffold_1.581"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.582"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.583"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.586"	302	227	246	328	804	141	131	155	363	458	435	348	437	364	252
"evm.TU.scaffold_1.587"	18	28	25	30	104	64	70	62	27	27	93	91	15	19	30
"evm.TU.scaffold_1.588"	952	876	784	871	783	794	1332	1772	563	607	214	430	465	625	602
"evm.TU.scaffold_1.589"	239	391	441	362	530	323	477	466	165	236	119	340	199	150	121
"evm.TU.scaffold_1.590"	198	379	350	284	211	299	458	680	207	348	361	222	120	348	286
"evm.TU.scaffold_1.591"	157	141	161	160	47	101	175	307	92	136	174	86	68	204	224
"evm.TU.scaffold_1.592"	516	418	583	684	896	330	378	462	1028	717	571	600	679	542	479
"evm.TU.scaffold_1.593"	1717	1151	1529	1980	1505	1267	1190	1726	2512	3280	1870	3247	2247	2199	1194
"evm.TU.scaffold_1.594"	2415	3373	2946	2218	1379	2599	3443	4131	1776	1080	933	1252	1030	1878	3026
"evm.TU.scaffold_1.595"	2347	3227	2864	2218	1243	2690	3430	4099	1776	1015	787	1179	938	1987	3104
"evm.TU.scaffold_1.596"	490	728	598	527	212	512	776	1345	600	700	530	609	779	899	675
"evm.TU.scaffold_1.598"	68	83	112	32	106	109	75	219	149	207	56	77	90	184	105
"evm.TU.scaffold_1.599"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.60"	1	0	0	1	1	1	0	0	0	0	0	0	0	7	0
"evm.TU.scaffold_1.600"	0	1	1	0	2	0	3	2	0	0	0	0	0	0	0
"evm.TU.scaffold_1.601"	0	2	1	3	0	3	0	0	6	0	0	0	0	0	0
"evm.TU.scaffold_1.602"	61	356	225	289	624	282	457	319	207	239	234	198	122	124	163
"evm.TU.scaffold_1.603"	371	454	523	448	855	430	471	337	547	693	656	524	677	388	271
"evm.TU.scaffold_1.604"	80	89	110	71	69	122	214	297	58	63	56	61	5	36	87
"evm.TU.scaffold_1.605"	162	156	183	184	335	159	200	109	138	89	56	122	261	112	99
"evm.TU.scaffold_1.606"	1763	5299	2645	3092	2159	3109	3722	3572	1155	1304	2509	2707	1976	1300	1457
"evm.TU.scaffold_1.607"	1465	1535	1667	1824	2222	1383	1476	1396	1535	1574	1803	1497	1855	1034	961
"evm.TU.scaffold_1.609"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.610"	55	39	24	18	82	12	37	23	74	11	36	61	91	26	22
"evm.TU.scaffold_1.611"	1	7	5	2	1	1	4	7	12	5	7	1	14	0	5
"evm.TU.scaffold_1.612_evm.TU.scaffold_1.613"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.614"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.615"	1	7	9	6	4	0	0	1	0	0	4	0	1	0	0
"evm.TU.scaffold_1.617"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.621"	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.623"	1	6	9	8	7	3	5	0	1	4	18	1	10	1	3
"evm.TU.scaffold_1.624"	0	2	2	4	0	1	0	0	1	9	4	0	0	0	0
"evm.TU.scaffold_1.625"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.627"	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.628"	12	10	0	0	0	0	0	1	0	0	0	0	0	0	0
"evm.TU.scaffold_1.629"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"evm.TU.scaffold_1.630"	0	0	0	1	0	0	3	5	0	0	0	0	0	16	0
"evm.TU.scaffold_1.631"	1504	898	1073	1389	654	583	1041	1087	2414	2416	1687	1574	2006	1702	1698
"evm.TU.scaffold_1.632"	54	36	64	53	156	27	36	29	73	30	60	49	191	57	24
"evm.TU.scaffold_1.633"	512	398	543	517	1648	463	399	440	641	657	609	401	419	497	367
"evm.TU.scaffold_1.635"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"evm.TU.scaffold_1.636"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.637"	63	88	129	91	245	81	70	135	163	163	53	143	112	66	78
"evm.TU.scaffold_1.638"	266	419	415	464	725	301	341	498	432	573	718	477	794	296	245
"evm.TU.scaffold_1.639"	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0
"evm.TU.scaffold_1.640"	162	408	335	253	317	463	543	778	166	237	40	55	84	150	189
"evm.TU.scaffold_1.641"	82	69	106	121	234	53	73	34	70	164	103	149	185	190	86
"evm.TU.scaffold_1.642"	74	129	81	108	37	37	78	54	46	47	35	22	3	69	53
"evm.TU.scaffold_1.643"	49	87	60	104	89	60	64	115	133	117	163	170	156	92	52
"evm.TU.scaffold_1.644"	102	117	166	145	203	196	123	154	66	80	158	205	42	49	28
"evm.TU.scaffold_1.645"	812	394	462	477	401	354	405	513	335	179	158	234	124	310	293
"evm.TU.scaffold_1.646"	37	41	40	54	151	26	39	26	62	17	45	20	86	42	40
"evm.TU.scaffold_1.647"	457	460	419	314	188	473	570	1145	394	323	240	171	474	452	875
"evm.TU.scaffold_1.649"	2578	5287	3993	3928	2246	4350	5595	6057	2145	2574	1879	2597	1763	2120	2322
"evm.TU.scaffold_1.650"	3004	5795	4453	4213	4791	4856	5949	6581	2844	3331	2607	3351	2923	3077	2867
"evm.TU.scaffold_1.651"	14	10	27	33	18	35	34	15	7	6	14	0	3	11	6
"evm.TU.scaffold_1.652"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.653"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.654"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.655"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.656"	698	768	613	798	752	439	666	994	1242	1334	755	739	739	762	733
"evm.TU.scaffold_1.657"	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2
"evm.TU.scaffold_1.658"	29	15	11	3	7	10	51	19	21	10	51	5	4	4	16
"evm.TU.scaffold_1.659"	910	620	928	804	3465	787	1161	973	954	1301	1099	989	812	692	470
"evm.TU.scaffold_1.660"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.661"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.662"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.663"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.666"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.667"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.668"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.669"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.670"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.671"	0	0	0	0	1	0	0	1	0	0	8	0	0	0	0
"evm.TU.scaffold_1.672"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.673"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.674"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.675"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.676"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.677"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.678"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.679"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.68"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.680"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.681"	11	31	6	11	89	24	8	30	37	45	4	30	17	21	53
"evm.TU.scaffold_1.682"	31	13	37	39	220	43	45	36	41	71	27	79	91	57	20
"evm.TU.scaffold_1.683"	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
"evm.TU.scaffold_1.684"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.685"	18	28	38	54	46	37	66	48	70	69	46	53	94	12	36
"evm.TU.scaffold_1.686"	637	542	689	888	1647	376	448	473	948	956	731	1083	749	712	534
"evm.TU.scaffold_1.687"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.688"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.689"	1180	1884	1144	1419	1271	1970	3204	5187	1653	2495	655	962	1541	1792	1684
"evm.TU.scaffold_1.690"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.691"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.692"	0	2	1	0	2	4	21	7	13	21	6	9	0	3	0
"evm.TU.scaffold_1.693"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.694"	16	22	13	12	24	30	42	37	89	43	24	36	14	4	12
"evm.TU.scaffold_1.695"	135	163	136	159	101	179	130	316	71	56	66	15	77	133	64
"evm.TU.scaffold_1.696"	18	15	8	44	10	9	4	20	2	13	0	6	4	2	4
"evm.TU.scaffold_1.697"	43	13	32	40	147	26	29	33	19	24	21	12	4	25	5
"evm.TU.scaffold_1.698"	47	42	39	68	158	42	17	68	70	49	39	10	54	86	21
"evm.TU.scaffold_1.699"	85	151	117	96	57	141	196	391	110	109	26	38	23	137	127
"evm.TU.scaffold_1.7"	0	0	2	0	0	1	0	0	5	15	0	0	0	0	0
"evm.TU.scaffold_1.70"	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
"evm.TU.scaffold_1.700"	739	795	830	1135	1106	642	665	645	820	1069	758	928	911	1033	585
"evm.TU.scaffold_1.701"	3132	5563	4042	4296	2439	4190	4887	4711	2188	3177	2643	3139	3009	2219	2194
"evm.TU.scaffold_1.702"	9	0	0	1	0	1	7	0	0	0	4	0	0	0	0
"evm.TU.scaffold_1.703"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.704"	2346	2651	2544	2598	1812	2653	3024	3068	1269	1485	995	1122	1294	1437	1761
"evm.TU.scaffold_1.705"	2192	1601	1254	1917	780	1197	1645	1760	4204	4491	3764	3380	4249	2335	2501
"evm.TU.scaffold_1.706"	5453	5358	4781	5055	2436	4219	5625	6247	3450	3171	2829	3297	2739	3760	3506
"evm.TU.scaffold_1.707"	605	825	1226	872	1188	590	565	677	1877	2225	1525	1564	1625	948	689
"evm.TU.scaffold_1.708"	47	29	56	37	748	115	53	95	41	79	53	28	26	59	53
"evm.TU.scaffold_1.709"	233	332	397	327	2242	426	380	503	303	417	235	187	306	403	191
"evm.TU.scaffold_1.710"	1	3	0	1	3	3	2	4	0	6	2	19	3	0	0
"evm.TU.scaffold_1.711"	6	31	14	3	5	8	6	11	15	1	2	0	0	1	3
"evm.TU.scaffold_1.712"	4264	3335	3201	3900	10566	2512	2760	2608	5124	5652	5255	5138	5504	4312	3178
"evm.TU.scaffold_1.713"	2056	2482	2566	2065	4796	2605	2780	2508	1227	981	1168	1377	764	823	905
"evm.TU.scaffold_1.714"	1515	1660	1812	1724	2138	1329	1560	1521	1506	1436	955	1395	1259	1032	913
"evm.TU.scaffold_1.716"	232	420	440	433	2054	474	356	342	319	383	322	234	469	223	191
"evm.TU.scaffold_1.717"	1010	1007	1417	1874	2365	623	883	919	1821	1892	1523	2160	1911	1378	987
"evm.TU.scaffold_1.718"	4402	1997	1830	2488	1060	1336	1807	2100	4987	5575	5285	4241	6474	4964	4731
"evm.TU.scaffold_1.719"	0	1	8	6	0	3	0	2	0	0	0	0	1	8	3
"evm.TU.scaffold_1.72"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.720"	7743	8987	7087	5719	3417	6977	9267	11406	6647	4642	3638	5404	3961	6248	8261
"evm.TU.scaffold_1.721"	1561	2142	1789	1829	854	1845	2405	2172	849	445	949	1143	653	913	1364
"evm.TU.scaffold_1.722"	376	412	595	368	465	281	326	251	454	210	392	492	633	324	259
"evm.TU.scaffold_1.723"	99	128	194	226	203	97	117	174	222	193	65	193	256	256	144
"evm.TU.scaffold_1.724"	1319	2537	2492	2338	3260	2655	2771	1753	736	825	1172	1826	1283	904	744
"evm.TU.scaffold_1.725"	14	48	35	23	33	51	63	47	13	15	0	20	9	13	14
"evm.TU.scaffold_1.726"	3411	5915	5104	4290	2172	4304	6585	7838	2552	2114	1499	2251	1810	3411	4027
"evm.TU.scaffold_1.727"	3711	6322	5356	4638	2406	4629	6831	8654	2750	2305	1489	2438	1983	3801	4244
"evm.TU.scaffold_1.728"	0	0	1	9	3	0	0	1	0	0	0	0	0	12	0
"evm.TU.scaffold_1.729"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.73"	0	2	0	0	0	0	0	0	0	0	7	3	0	0	0
"evm.TU.scaffold_1.730"	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.731"	658	645	800	814	1635	481	498	554	1047	1109	1166	990	851	714	642
"evm.TU.scaffold_1.732"	44	42	16	52	13	28	34	80	76	88	34	29	24	70	83
"evm.TU.scaffold_1.733"	4	17	17	27	13	7	7	6	6	14	1	20	57	1	6
"evm.TU.scaffold_1.735"	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"evm.TU.scaffold_1.736"	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.737"	4	0	0	0	1	6	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.738"	42	66	39	68	135	36	63	56	64	30	199	15	30	47	27
"evm.TU.scaffold_1.739"	174	180	220	301	70	177	177	196	83	85	0	85	63	70	141
"evm.TU.scaffold_1.74"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.740"	162	309	305	233	383	345	287	313	182	194	373	282	168	94	153
"evm.TU.scaffold_1.741"	39	41	44	42	159	34	71	49	61	58	41	29	3	42	36
"evm.TU.scaffold_1.742"	11	44	22	20	144	34	27	60	38	124	28	106	69	44	52
"evm.TU.scaffold_1.743"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.744"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
